total 40
drwxrwxr-x 5 bwb bwb 4096 10月 11 17:37 a
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Desktop
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Documents
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Downloads
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Music
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Pictures
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Public
-rw-rw-r-- 1 bwb bwb    0 10月 13 14:28 te.log
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Templates
drwxrwxr-t 2 bwb bwb 4096 9月  24 16:41 thinclient_drives
drwxr-xr-x 2 bwb bwb 4096 9月  24 16:41 Videos
UID          PID    PPID  C STIME TTY          TIME CMD
root     1281370       2  0 10月12 ?      00:00:00 [kworker/26:2-events]
root     1281893       2  0 10月12 ?      00:00:00 [kworker/16:1-rcu_gp]
root     1308904       2  0 10月12 ?      00:00:00 [kworker/27:1-mm_percpu_wq]
root     1317454       2  0 10月12 ?      00:00:00 [kworker/17:0]
root     1317780       2  0 10月12 ?      00:00:00 [kworker/8:2-events]
root     1317801       2  0 10月12 ?      00:00:00 [kworker/4:1-rcu_gp]
root     1318395       2  0 10月12 ?      00:00:00 [kworker/7:2-events]
root     1318408       2  0 10月12 ?      00:00:00 [kworker/16:0-mm_percpu_wq]
root     1318532       2  0 10月12 ?      00:00:00 [kworker/12:0-rcu_gp]
root     1318940       2  0 10月12 ?      00:00:00 [kworker/26:0-events]
root     1319068       2  0 10月12 ?      00:00:00 [kworker/15:0-rcu_gp]
root     1319157       2  0 10月12 ?      00:00:00 [kworker/23:2-rcu_par_gp]
root     1319195       2  0 10月12 ?      00:00:00 [kworker/11:0-events]
root     1319277       2  0 10月12 ?      00:00:00 [kworker/28:2-events]
root     1319412       2  0 10月12 ?      00:00:00 [kworker/24:2-events]
root     1319547       2  0 10月12 ?      00:00:00 [kworker/7:0-events]
root     1319572       2  0 10月12 ?      00:00:00 [kworker/15:2-events]
root     1319583       2  0 10月12 ?      00:00:00 [kworker/18:0-events]
root     1319584       2  0 10月12 ?      00:00:00 [kworker/21:2-events]
root     1319716       2  0 10月12 ?      00:00:00 [kworker/9:2-mm_percpu_wq]
root     1319896       2  0 00:00 ?        00:00:00 [kworker/23:0-events]
root     1319916       2  0 00:00 ?        00:00:00 [kworker/18:1-cgroup_destroy]
root     1319921       1  0 00:00 ?        00:00:00 /usr/sbin/cupsd -l
root     1319923       1  0 00:00 ?        00:00:03 /usr/sbin/cups-browsed
root     1320983       2  0 02:50 ?        00:00:00 [kworker/22:2-events]
root     1321527       2  0 04:18 ?        00:00:00 [kworker/3:1-events]
root     1321800       2  0 04:54 ?        00:00:00 [kworker/1:0-events]
root     1321839       2  0 04:57 ?        00:00:00 [kworker/19:0-rcu_gp]
root     1322271       2  0 05:13 ?        00:00:00 [kworker/12:1-mm_percpu_wq]
root     1322437       2  0 05:38 ?        00:00:00 [kworker/13:0-rcu_gp]
root     1322461       2  0 05:44 ?        00:00:06 [kworker/0:2-rcu_gp]
root     1322616       2  0 06:08 ?        00:00:00 [kworker/19:1-mm_percpu_wq]
root     1322687       2  0 06:18 ?        00:00:00 [kworker/11:2]
root     1322845       2  0 06:31 ?        00:00:00 [kworker/10:0-rcu_gp]
root     1323172       2  0 07:27 ?        00:00:00 [kworker/4:0-events]
root     1323218       2  0 07:28 ?        00:00:00 [kworker/10:1-events]
root     1323357       2  0 07:38 ?        00:00:00 [kworker/27:0]
root     1323397       2  0 07:46 ?        00:00:00 [kworker/13:1-mm_percpu_wq]
root     1323546       2  0 08:10 ?        00:00:18 [kworker/0:0-events]
root     1323718       2  0 08:34 ?        00:00:00 [kworker/8:1-events]
root     1323846       2  0 08:58 ?        00:00:00 [kworker/30:2-rcu_gp]
root     1324060       2  0 09:33 ?        00:00:00 [kworker/21:1-events]
root     1324430       2  0 10:32 ?        00:00:00 [kworker/24:0]
root     1324431       2  0 10:32 ?        00:00:00 [kworker/25:2]
root     1325096       2  0 12:09 ?        00:00:00 [kworker/2:2-events]
root     1325244       2  0 12:33 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
root     1325268    1241  0 12:36 ?        00:00:00 sshd: bwb [priv]
bwb      1325459 1325268  0 12:36 ?        00:00:00 sshd: bwb@pts/1
bwb      1325460 1325459  0 12:36 pts/1    00:00:00 -bash
root     1328226       2  0 12:47 ?        00:00:00 [kworker/31:2-rcu_gp]
root     1334069       2  0 13:08 ?        00:00:00 [kworker/9:0]
root     1334070       2  0 13:08 ?        00:00:00 [kworker/6:1]
root     1334095       2  0 13:12 ?        00:00:00 [kworker/31:0-events]
root     1334195    1241  0 13:13 ?        00:00:00 sshd: bwb [priv]
bwb      1334265 1334195  0 13:13 ?        00:00:00 sshd: bwb@notty
bwb      1334266 1334265  0 13:13 ?        00:00:00 /usr/lib/openssh/sftp-server
root     1334296       2  0 13:14 ?        00:00:00 [kworker/20:2-events]
root     1335329       2  0 13:19 ?        00:00:00 [kworker/22:0]
root     1335413       2  0 13:28 ?        00:00:00 [kworker/30:0-events]
root     1335446       2  0 13:30 ?        00:00:00 [kworker/1:2-mm_percpu_wq]
root     1335538       2  0 13:46 ?        00:00:00 [kworker/29:2-events]
root     1335625       2  0 14:01 ?        00:00:00 [kworker/u64:5-events_unbound]
root     1335649       2  0 14:07 ?        00:00:00 [kworker/u64:1-mlx5_cmd_0000:b3:00.1]
root     1335692       2  0 14:15 ?        00:00:00 [kworker/u64:2-events_power_efficient]
root     1335744       2  0 14:23 ?        00:00:00 [kworker/u64:0-mlx5_cmd_0000:b3:00.1]
root     1335759       2  0 14:24 ?        00:00:00 [kworker/2:1]
root     1335780    1241  0 14:26 ?        00:00:00 sshd: bwb [priv]
bwb      1335968 1335780  0 14:26 ?        00:00:00 sshd: bwb@pts/2
bwb      1335969 1335968  0 14:27 pts/2    00:00:00 -bash
root     1337023       2  0 14:30 ?        00:00:00 [kworker/29:0-events]
root     1337025       2  0 14:30 ?        00:00:00 [kworker/29:3]
root     1337750       2  0 14:31 ?        00:00:00 [kworker/u64:3]
bwb      1337754 1335969  0 14:31 pts/2    00:00:00 ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 7月15 ?       00:02:51 /lib/systemd/systemd --system --deserialize 35
root           2       0  0 7月15 ?       00:00:02 [kthreadd]
root           3       2  0 7月15 ?       00:00:00 [rcu_gp]
root           4       2  0 7月15 ?       00:00:00 [rcu_par_gp]
root           6       2  0 7月15 ?       00:00:00 [kworker/0:0H-kblockd]
root           9       2  0 7月15 ?       00:00:00 [mm_percpu_wq]
root          10       2  0 7月15 ?       00:00:04 [ksoftirqd/0]
root          11       2  0 7月15 ?       04:03:41 [rcu_sched]
root          12       2  0 7月15 ?       00:00:19 [migration/0]
root          13       2  0 7月15 ?       00:00:00 [idle_inject/0]
root          14       2  0 7月15 ?       00:00:00 [cpuhp/0]
root          15       2  0 7月15 ?       00:00:00 [cpuhp/1]
root          16       2  0 7月15 ?       00:00:00 [idle_inject/1]
root          17       2  0 7月15 ?       00:00:19 [migration/1]
root          18       2  0 7月15 ?       00:00:01 [ksoftirqd/1]
root          20       2  0 7月15 ?       00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 7月15 ?       00:00:00 [cpuhp/2]
root          22       2  0 7月15 ?       00:00:00 [idle_inject/2]
root          23       2  0 7月15 ?       00:00:19 [migration/2]
root          24       2  0 7月15 ?       00:00:00 [ksoftirqd/2]
root          26       2  0 7月15 ?       00:00:00 [kworker/2:0H-kblockd]
root          27       2  0 7月15 ?       00:00:00 [cpuhp/3]
root          28       2  0 7月15 ?       00:00:00 [idle_inject/3]
root          29       2  0 7月15 ?       00:00:19 [migration/3]
root          30       2  0 7月15 ?       00:00:00 [ksoftirqd/3]
root          32       2  0 7月15 ?       00:00:00 [kworker/3:0H-kblockd]
root          33       2  0 7月15 ?       00:00:00 [cpuhp/4]
root          34       2  0 7月15 ?       00:00:00 [idle_inject/4]
root          35       2  0 7月15 ?       00:00:19 [migration/4]
root          36       2  0 7月15 ?       00:00:00 [ksoftirqd/4]
root          38       2  0 7月15 ?       00:00:00 [kworker/4:0H-kblockd]
root          39       2  0 7月15 ?       00:00:00 [cpuhp/5]
root          40       2  0 7月15 ?       00:00:00 [idle_inject/5]
root          41       2  0 7月15 ?       00:00:19 [migration/5]
root          42       2  0 7月15 ?       00:00:00 [ksoftirqd/5]
root          44       2  0 7月15 ?       00:00:00 [kworker/5:0H-kblockd]
root          45       2  0 7月15 ?       00:00:00 [cpuhp/6]
root          46       2  0 7月15 ?       00:00:00 [idle_inject/6]
root          47       2  0 7月15 ?       00:00:19 [migration/6]
root          48       2  0 7月15 ?       00:00:01 [ksoftirqd/6]
root          50       2  0 7月15 ?       00:00:00 [kworker/6:0H-kblockd]
root          51       2  0 7月15 ?       00:00:00 [cpuhp/7]
root          52       2  0 7月15 ?       00:00:00 [idle_inject/7]
root          53       2  0 7月15 ?       00:00:19 [migration/7]
root          54       2  0 7月15 ?       00:00:00 [ksoftirqd/7]
root          56       2  0 7月15 ?       00:00:00 [kworker/7:0H-kblockd]
root          57       2  0 7月15 ?       00:00:00 [cpuhp/8]
root          58       2  0 7月15 ?       00:00:00 [idle_inject/8]
root          59       2  0 7月15 ?       00:00:19 [migration/8]
root          60       2  0 7月15 ?       00:00:00 [ksoftirqd/8]
root          62       2  0 7月15 ?       00:00:00 [kworker/8:0H-kblockd]
root          63       2  0 7月15 ?       00:00:00 [cpuhp/9]
root          64       2  0 7月15 ?       00:00:00 [idle_inject/9]
root          65       2  0 7月15 ?       00:00:19 [migration/9]
root          66       2  0 7月15 ?       00:00:00 [ksoftirqd/9]
root          68       2  0 7月15 ?       00:00:00 [kworker/9:0H-kblockd]
root          69       2  0 7月15 ?       00:00:00 [cpuhp/10]
root          70       2  0 7月15 ?       00:00:00 [idle_inject/10]
root          71       2  0 7月15 ?       00:00:19 [migration/10]
root          72       2  0 7月15 ?       00:00:00 [ksoftirqd/10]
root          74       2  0 7月15 ?       00:00:00 [kworker/10:0H-kblockd]
root          75       2  0 7月15 ?       00:00:00 [cpuhp/11]
root          76       2  0 7月15 ?       00:00:00 [idle_inject/11]
root          77       2  0 7月15 ?       00:00:19 [migration/11]
root          78       2  0 7月15 ?       00:00:01 [ksoftirqd/11]
root          80       2  0 7月15 ?       00:00:00 [kworker/11:0H-kblockd]
root          81       2  0 7月15 ?       00:00:00 [cpuhp/12]
root          82       2  0 7月15 ?       00:00:00 [idle_inject/12]
root          83       2  0 7月15 ?       00:00:19 [migration/12]
root          84       2  0 7月15 ?       00:00:03 [ksoftirqd/12]
root          86       2  0 7月15 ?       00:00:00 [kworker/12:0H-kblockd]
root          87       2  0 7月15 ?       00:00:00 [cpuhp/13]
root          88       2  0 7月15 ?       00:00:00 [idle_inject/13]
root          89       2  0 7月15 ?       00:00:19 [migration/13]
root          90       2  0 7月15 ?       00:00:00 [ksoftirqd/13]
root          92       2  0 7月15 ?       00:00:00 [kworker/13:0H-kblockd]
root          93       2  0 7月15 ?       00:00:00 [cpuhp/14]
root          94       2  0 7月15 ?       00:00:00 [idle_inject/14]
root          95       2  0 7月15 ?       00:00:21 [migration/14]
root          96       2  0 7月15 ?       00:00:08 [ksoftirqd/14]
root          98       2  0 7月15 ?       00:00:00 [kworker/14:0H-kblockd]
root          99       2  0 7月15 ?       00:00:00 [cpuhp/15]
root         100       2  0 7月15 ?       00:00:00 [idle_inject/15]
root         101       2  0 7月15 ?       00:00:20 [migration/15]
root         102       2  0 7月15 ?       00:00:00 [ksoftirqd/15]
root         104       2  0 7月15 ?       00:00:00 [kworker/15:0H-kblockd]
root         105       2  0 7月15 ?       00:00:00 [cpuhp/16]
root         106       2  0 7月15 ?       00:00:00 [idle_inject/16]
root         107       2  0 7月15 ?       00:00:20 [migration/16]
root         108       2  0 7月15 ?       00:00:00 [ksoftirqd/16]
root         110       2  0 7月15 ?       00:00:00 [kworker/16:0H-kblockd]
root         111       2  0 7月15 ?       00:00:00 [cpuhp/17]
root         112       2  0 7月15 ?       00:00:00 [idle_inject/17]
root         113       2  0 7月15 ?       00:00:19 [migration/17]
root         114       2  0 7月15 ?       00:00:00 [ksoftirqd/17]
root         116       2  0 7月15 ?       00:00:00 [kworker/17:0H-kblockd]
root         117       2  0 7月15 ?       00:00:00 [cpuhp/18]
root         118       2  0 7月15 ?       00:00:00 [idle_inject/18]
root         119       2  0 7月15 ?       00:00:19 [migration/18]
root         120       2  0 7月15 ?       00:00:00 [ksoftirqd/18]
root         122       2  0 7月15 ?       00:00:00 [kworker/18:0H-kblockd]
root         123       2  0 7月15 ?       00:00:00 [cpuhp/19]
root         124       2  0 7月15 ?       00:00:00 [idle_inject/19]
root         125       2  0 7月15 ?       00:00:19 [migration/19]
root         126       2  0 7月15 ?       00:00:01 [ksoftirqd/19]
root         128       2  0 7月15 ?       00:00:00 [kworker/19:0H-kblockd]
root         129       2  0 7月15 ?       00:00:00 [cpuhp/20]
root         130       2  0 7月15 ?       00:00:00 [idle_inject/20]
root         131       2  0 7月15 ?       00:00:19 [migration/20]
root         132       2  0 7月15 ?       00:00:00 [ksoftirqd/20]
root         134       2  0 7月15 ?       00:00:00 [kworker/20:0H-kblockd]
root         135       2  0 7月15 ?       00:00:00 [cpuhp/21]
root         136       2  0 7月15 ?       00:00:00 [idle_inject/21]
root         137       2  0 7月15 ?       00:00:19 [migration/21]
root         138       2  0 7月15 ?       00:00:00 [ksoftirqd/21]
root         140       2  0 7月15 ?       00:00:00 [kworker/21:0H-kblockd]
root         141       2  0 7月15 ?       00:00:00 [cpuhp/22]
root         142       2  0 7月15 ?       00:00:00 [idle_inject/22]
root         143       2  0 7月15 ?       00:00:19 [migration/22]
root         144       2  0 7月15 ?       00:00:00 [ksoftirqd/22]
root         146       2  0 7月15 ?       00:00:00 [kworker/22:0H-kblockd]
root         147       2  0 7月15 ?       00:00:00 [cpuhp/23]
root         148       2  0 7月15 ?       00:00:00 [idle_inject/23]
root         149       2  0 7月15 ?       00:00:19 [migration/23]
root         150       2  0 7月15 ?       00:00:00 [ksoftirqd/23]
root         152       2  0 7月15 ?       00:00:00 [kworker/23:0H-kblockd]
root         153       2  0 7月15 ?       00:00:00 [cpuhp/24]
root         154       2  0 7月15 ?       00:00:00 [idle_inject/24]
root         155       2  0 7月15 ?       00:00:19 [migration/24]
root         156       2  0 7月15 ?       00:00:00 [ksoftirqd/24]
root         158       2  0 7月15 ?       00:00:00 [kworker/24:0H-kblockd]
root         159       2  0 7月15 ?       00:00:00 [cpuhp/25]
root         160       2  0 7月15 ?       00:00:00 [idle_inject/25]
root         161       2  0 7月15 ?       00:00:19 [migration/25]
root         162       2  0 7月15 ?       00:00:00 [ksoftirqd/25]
root         164       2  0 7月15 ?       00:00:00 [kworker/25:0H-kblockd]
root         165       2  0 7月15 ?       00:00:00 [cpuhp/26]
root         166       2  0 7月15 ?       00:00:00 [idle_inject/26]
root         167       2  0 7月15 ?       00:00:19 [migration/26]
root         168       2  0 7月15 ?       00:00:00 [ksoftirqd/26]
root         170       2  0 7月15 ?       00:00:00 [kworker/26:0H-kblockd]
root         171       2  0 7月15 ?       00:00:00 [cpuhp/27]
root         172       2  0 7月15 ?       00:00:00 [idle_inject/27]
root         173       2  0 7月15 ?       00:00:19 [migration/27]
root         174       2  0 7月15 ?       00:00:00 [ksoftirqd/27]
root         176       2  0 7月15 ?       00:00:00 [kworker/27:0H-kblockd]
root         177       2  0 7月15 ?       00:00:00 [cpuhp/28]
root         178       2  0 7月15 ?       00:00:00 [idle_inject/28]
root         179       2  0 7月15 ?       00:00:19 [migration/28]
root         180       2  0 7月15 ?       00:00:00 [ksoftirqd/28]
root         182       2  0 7月15 ?       00:00:00 [kworker/28:0H-kblockd]
root         183       2  0 7月15 ?       00:00:00 [cpuhp/29]
root         184       2  0 7月15 ?       00:00:00 [idle_inject/29]
root         185       2  0 7月15 ?       00:00:19 [migration/29]
root         186       2  0 7月15 ?       00:00:00 [ksoftirqd/29]
root         188       2  0 7月15 ?       00:00:00 [kworker/29:0H-kblockd]
root         189       2  0 7月15 ?       00:00:00 [cpuhp/30]
root         190       2  0 7月15 ?       00:00:00 [idle_inject/30]
root         191       2  0 7月15 ?       00:00:17 [migration/30]
root         192       2  0 7月15 ?       00:01:20 [ksoftirqd/30]
root         194       2  0 7月15 ?       00:00:00 [kworker/30:0H-kblockd]
root         195       2  0 7月15 ?       00:00:00 [cpuhp/31]
root         196       2  0 7月15 ?       00:00:00 [idle_inject/31]
root         197       2  0 7月15 ?       00:00:18 [migration/31]
root         198       2  0 7月15 ?       00:00:01 [ksoftirqd/31]
root         200       2  0 7月15 ?       00:00:00 [kworker/31:0H-kblockd]
root         201       2  0 7月15 ?       00:00:00 [kdevtmpfs]
root         202       2  0 7月15 ?       00:00:00 [netns]
root         203       2  0 7月15 ?       00:00:00 [rcu_tasks_kthre]
root         204       2  0 7月15 ?       00:00:00 [kauditd]
root         208       2  0 7月15 ?       00:00:18 [khungtaskd]
root         209       2  0 7月15 ?       00:00:00 [oom_reaper]
root         210       2  0 7月15 ?       00:00:00 [writeback]
root         211       2  0 7月15 ?       00:00:00 [kcompactd0]
root         212       2  0 7月15 ?       00:00:00 [ksmd]
root         213       2  0 7月15 ?       00:00:18 [khugepaged]
root         306       2  0 7月15 ?       00:00:00 [kintegrityd]
root         307       2  0 7月15 ?       00:00:00 [kblockd]
root         308       2  0 7月15 ?       00:00:00 [blkcg_punt_bio]
root         315       2  0 7月15 ?       00:00:00 [tpm_dev_wq]
root         316       2  0 7月15 ?       00:00:00 [ata_sff]
root         317       2  0 7月15 ?       00:00:00 [md]
root         318       2  0 7月15 ?       00:00:00 [edac-poller]
root         319       2  0 7月15 ?       00:00:00 [devfreq_wq]
root         320       2  0 7月15 ?       00:00:00 [watchdogd]
root         323       2  0 7月15 ?       00:00:00 [kswapd0]
root         324       2  0 7月15 ?       00:00:00 [ecryptfs-kthrea]
root         327       2  0 7月15 ?       00:00:00 [kthrotld]
root         355       2  0 7月15 ?       00:00:00 [acpi_thermal_pm]
root         356       2  0 7月15 ?       00:00:00 [vfio-irqfd-clea]
root         357       2  0 7月15 ?       00:00:00 [ipv6_addrconf]
root         368       2  0 7月15 ?       00:00:00 [kstrp]
root         372       2  0 7月15 ?       00:00:00 [kworker/u65:0]
root         388       2  0 7月15 ?       00:00:00 [charger_manager]
root         451       2  0 7月15 ?       00:00:00 [i40e]
root         468       2  0 7月15 ?       00:00:00 [scsi_eh_0]
root         469       2  0 7月15 ?       00:00:00 [scsi_tmf_0]
root         470       2  0 7月15 ?       00:00:00 [scsi_eh_1]
root         471       2  0 7月15 ?       00:00:00 [scsi_tmf_1]
root         472       2  0 7月15 ?       00:00:00 [mlx5_health0000]
root         473       2  0 7月15 ?       00:00:00 [mlx5_page_alloc]
root         474       2  0 7月15 ?       00:00:00 [mlx5_cmd_0000:b]
root         477       2  0 7月15 ?       00:00:00 [scsi_eh_2]
root         478       2  0 7月15 ?       00:00:00 [scsi_tmf_2]
root         479       2  0 7月15 ?       00:00:00 [scsi_eh_3]
root         480       2  0 7月15 ?       00:00:00 [scsi_tmf_3]
root         481       2  0 7月15 ?       00:00:00 [scsi_eh_4]
root         482       2  0 7月15 ?       00:00:00 [scsi_tmf_4]
root         483       2  0 7月15 ?       00:00:00 [scsi_eh_5]
root         484       2  0 7月15 ?       00:00:00 [scsi_tmf_5]
root         485       2  0 7月15 ?       00:00:00 [scsi_eh_6]
root         486       2  0 7月15 ?       00:00:00 [scsi_tmf_6]
root         487       2  0 7月15 ?       00:00:00 [scsi_eh_7]
root         488       2  0 7月15 ?       00:00:00 [scsi_tmf_7]
root         489       2  0 7月15 ?       00:00:00 [scsi_eh_8]
root         490       2  0 7月15 ?       00:00:00 [scsi_tmf_8]
root         491       2  0 7月15 ?       00:00:00 [scsi_eh_9]
root         492       2  0 7月15 ?       00:00:00 [scsi_tmf_9]
root         530       2  0 7月15 ?       00:00:00 [mlx5_events]
root         531       2  0 7月15 ?       00:00:00 [mlx5_esw_wq]
root         532       2  0 7月15 ?       00:00:00 [mlx5_fw_tracer]
root         533       2  0 7月15 ?       00:00:00 [mlx5_hv_vhca]
root         536       2  0 7月15 ?       00:00:00 [mlx5_fc]
root         538       2  0 7月15 ?       00:00:00 [mlx5_health0000]
root         539       2  0 7月15 ?       00:00:00 [mlx5_page_alloc]
root         540       2  0 7月15 ?       00:00:00 [mlx5_cmd_0000:b]
root         541       2  0 7月15 ?       00:00:00 [ib-comp-wq]
root         542       2  0 7月15 ?       00:00:00 [ib-comp-unb-wq]
root         543       2  0 7月15 ?       00:00:00 [ib_mcast]
root         544       2  0 7月15 ?       00:00:00 [ib_nl_sa_wq]
root         546       2  0 7月15 ?       00:00:00 [mlx5_events]
root         547       2  0 7月15 ?       00:00:00 [mlx5_esw_wq]
root         548       2  0 7月15 ?       00:00:00 [mlx5_fw_tracer]
root         549       2  0 7月15 ?       00:00:00 [mlx5_hv_vhca]
root         550       2  0 7月15 ?       00:00:18 [kworker/14:1H-kblockd]
root         551       2  0 7月15 ?       00:00:01 [kworker/3:1H-kblockd]
root         552       2  0 7月15 ?       00:00:00 [kworker/9:1H-kblockd]
root         553       2  0 7月15 ?       00:00:00 [mlx5_fc]
root         555       2  0 7月15 ?       00:00:00 [mlx5e]
root         556       2  0 7月15 ?       00:00:01 [kworker/26:1H-kblockd]
root         561       2  0 7月15 ?       00:00:00 [mlx5e_arfs]
root         562       2  0 7月15 ?       00:00:00 [mlx5_lag]
root         563       2  0 7月15 ?       00:00:00 [mlx5e]
root         564       2  0 7月15 ?       00:00:00 [mlx5e_arfs]
root         565       2  0 7月15 ?       00:00:00 [mlx5_ib_page_fa]
root         566       2  0 7月15 ?       00:00:00 [ib_mad1]
root         567       2  0 7月15 ?       00:00:00 [mkey_cache]
root         568       2  0 7月15 ?       00:00:00 [mlx5_ib_page_fa]
root         569       2  0 7月15 ?       00:00:00 [ib_mad1]
root         570       2  0 7月15 ?       00:00:00 [mkey_cache]
root         588       2  0 7月15 ?       00:00:02 [kworker/24:1H-kblockd]
root         590       2  0 7月15 ?       00:00:02 [kworker/17:1H-kblockd]
root         591       2  0 7月15 ?       00:01:19 [jbd2/sda3-8]
root         592       2  0 7月15 ?       00:00:00 [ext4-rsv-conver]
root         593       2  0 7月15 ?       00:00:01 [kworker/1:1H-kblockd]
root         594       2  0 7月15 ?       00:00:00 [kworker/10:1H-kblockd]
root         603       2  0 7月15 ?       00:00:01 [kworker/4:1H-kblockd]
root         607       2  0 7月15 ?       00:00:01 [kworker/2:1H-kblockd]
root         612       2  0 7月15 ?       00:00:01 [kworker/6:1H-kblockd]
root         616       2  0 7月15 ?       00:00:00 [kworker/8:1H-kblockd]
root         630       2  0 7月15 ?       00:00:00 [kworker/31:1H-kblockd]
root         631       2  0 7月15 ?       00:00:01 [kworker/25:1H-kblockd]
root         634       2  0 7月15 ?       00:00:06 [kworker/11:1H-kblockd]
root         635       2  0 7月15 ?       00:00:01 [kworker/23:1H-kblockd]
root         638       2  0 7月15 ?       00:00:04 [kworker/12:1H-kblockd]
root         639       2  0 7月15 ?       00:00:01 [kworker/28:1H-kblockd]
root         646       2  0 7月15 ?       00:00:01 [kworker/0:1H-kblockd]
root         653       2  0 7月15 ?       00:00:04 [kworker/15:1H-kblockd]
root         654       2  0 7月15 ?       00:00:01 [kworker/22:1H-kblockd]
root         655       2  0 7月15 ?       00:00:03 [kworker/16:1H-kblockd]
root         671       2  0 7月15 ?       00:00:01 [kworker/19:1H-kblockd]
root         685       2  0 7月15 ?       00:00:01 [kworker/7:1H-kblockd]
root         686       2  0 7月15 ?       00:00:00 [loop1]
root         687       2  0 7月15 ?       00:00:00 [loop2]
root         688       2  0 7月15 ?       00:00:00 [loop3]
root         690       2  0 7月15 ?       00:00:01 [kworker/21:1H-kblockd]
root         691       2  0 7月15 ?       00:00:01 [kworker/20:1H-kblockd]
root         773       2  0 7月15 ?       00:00:01 [kworker/27:1H-kblockd]
root         774       2  0 7月15 ?       00:00:01 [kworker/5:1H-kblockd]
root         776       2  0 7月15 ?       00:00:00 [kworker/30:1H-kblockd]
root         779       2  0 7月15 ?       00:00:01 [kworker/29:1H-kblockd]
root         785       2  0 7月15 ?       00:00:01 [kworker/18:1H-kblockd]
root         803       2  0 7月15 ?       00:00:00 [irq/307-mei_me]
root         812       2  0 7月15 ?       00:00:00 [cryptd]
root         855       2  0 7月15 ?       00:00:00 [ttm_swap]
root         869       2  0 7月15 ?       00:00:00 [nfit]
root         870       2  0 7月15 ?       00:00:00 [kipmi0]
root         872       2  0 7月15 ?       00:00:03 [kworker/13:1H-kblockd]
root        1034       2  0 7月15 ?       00:00:00 [jbd2/sdb1-8]
root        1035       2  0 7月15 ?       00:00:00 [ext4-rsv-conver]
root        1037       2  0 7月15 ?       00:00:00 [jbd2/sdd1-8]
root        1038       2  0 7月15 ?       00:00:00 [ext4-rsv-conver]
root        1039       2  0 7月15 ?       00:00:00 [jbd2/sdc1-8]
root        1040       2  0 7月15 ?       00:00:00 [ext4-rsv-conver]
root        1057       2  0 7月15 ?       00:00:00 [jbd2/sda1-8]
root        1058       2  0 7月15 ?       00:00:00 [ext4-rsv-conver]
root        1060       2  0 7月15 ?       00:00:21 [jbd2/sda4-8]
root        1061       2  0 7月15 ?       00:00:00 [ext4-rsv-conver]
root        1114       1  0 7月15 ?       00:00:00 /usr/sbin/acpid
root        1118       1  0 7月15 ?       00:00:10 /usr/sbin/cron -f
message+    1120       1  0 7月15 ?       00:58:19 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        1121       1  0 7月15 ?       18:57:16 /usr/sbin/NetworkManager --no-daemon
root        1131       1  0 7月15 ?       00:42:28 /usr/sbin/irqbalance --foreground
root        1132       1  0 7月15 ?       00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
syslog      1136       1  0 7月15 ?       00:03:48 /usr/sbin/rsyslogd -n -iNONE
root        1138       1  0 7月15 ?       00:00:00 /usr/libexec/switcheroo-control
root        1139       1  0 7月15 ?       00:00:17 /lib/systemd/systemd-logind
root        1143       1  0 7月15 ?       00:05:56 /usr/lib/udisks2/udisksd
root        1215       1  0 7月15 ?       00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1236       1  0 7月15 ?       00:00:00 /usr/sbin/gdm3
root        1241       1  0 7月15 ?       00:00:37 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
rtkit       1338       1  0 7月15 ?       00:02:06 /usr/libexec/rtkit-daemon
root        1496       1  0 7月15 ?       00:00:00 /usr/lib/upower/upowerd
colord      1776       1  0 7月15 ?       00:00:00 /usr/libexec/colord
kernoops    1882       1  0 7月15 ?       00:04:13 /usr/sbin/kerneloops --test
kernoops    1884       1  0 7月15 ?       00:04:13 /usr/sbin/kerneloops
root       29104    1236  0 7月16 ?       00:00:00 gdm-session-worker [pam/gdm-password]
amax       29127       1  0 7月16 ?       00:00:01 /lib/systemd/systemd --user
amax       29131   29127  0 7月16 ?       00:00:00 (sd-pam)
amax       29144   29127  0 7月16 ?       00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
amax       29146   29127  0 7月16 ?       00:00:00 /usr/libexec/tracker-miner-fs
amax       29149   29127  0 7月16 ?       00:03:12 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
amax       29152       1  0 7月16 ?       00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
